Generated 1 moment matrices
Largest moment matrix has size 7
Objective: <A1>-<A2>+<B1>-<B2>-<A1B1>+<A1B2>+<A2B1>-<A2B2>+<A1B3>+<A2B3>+<A3B1>+<A3B2>
Vars: <A1B3> <A2B2>
Angle: 0   L1: 6.45913   L2: 5.70519   L3: 5.70447
Angle: 0.0628319   L1: 6.54068   L2: 5.78648   L3: 5.78555
Angle: 0.125664   L1: 6.61776   L2: 5.86328   L3: 5.86216
Angle: 0.188496   L1: 6.68987   L2: 5.93507   L3: 5.93378
Angle: 0.251327   L1: 6.75661   L2: 6.00144   L3: 6
Angle: 0.314159   L1: 6.81767   L2: 6.06206   L3: 6.06051
Angle: 0.376991   L1: 6.87279   L2: 6.11667   L3: 6.11501
Angle: 0.439823   L1: 6.92179   L2: 6.16508   L3: 6.16333
Angle: 0.502655   L1: 6.96454   L2: 6.20716   L3: 6.20532
Angle: 0.565487   L1: 7.001   L2: 6.24288   L3: 6.24093
Angle: 0.628319   L1: 7.0312   L2: 6.27227   L3: 6.27017
Angle: 0.69115   L1: 7.05528   L2: 6.29549   L3: 6.29315
Angle: 0.753982   L1: 7.07346   L2: 6.31292   L3: 6.31009
Angle: 0.816814   L1: 7.08612   L2: 6.32535   L3: 6.32138
Angle: 0.879646   L1: 7.09378   L2: 6.33462   L3: 6.32766
Angle: 0.942478   L1: 7.09722   L2: 6.34716   L3: 6.32997
Angle: 1.00531   L1: 7.09749   L2: 6.43629   L3: 6.43628
Angle: 1.06814   L1: 7.09611   L2: 6.55798   L3: 6.55798
Angle: 1.13097   L1: 7.09517   L2: 6.67748   L3: 6.67748
Angle: 1.19381   L1: 7.09766   L2: 6.7943   L3: 6.7943
Angle: 1.25664   L1: 7.10775   L2: 6.90798   L3: 6.90798
Angle: 1.31947   L1: 7.13095   L2: 7.01808   L3: 7.01808
Angle: 1.3823   L1: 7.17338   L2: 7.12417   L3: 7.12417
Angle: 1.44513   L1: 7.23857   L2: 7.22581   L3: 7.22581
Angle: 1.50796   L1: 7.32299   L2: 7.32262   L3: 7.32262
Angle: 1.5708   L1: 7.41421   L2: 7.41421   L3: 7.41421
Angle: 1.63363   L1: 7.50022   L2: 7.50022   L3: 7.50022
Angle: 1.69646   L1: 7.58031   L2: 7.58031   L3: 7.58031
Angle: 1.75929   L1: 7.65416   L2: 7.65416   L3: 7.65416
Angle: 1.82212   L1: 7.72148   L2: 7.72148   L3: 7.72148
Angle: 1.88496   L1: 7.78201   L2: 7.78201   L3: 7.78201
Angle: 1.94779   L1: 7.83551   L2: 7.83551   L3: 7.83551
Angle: 2.01062   L1: 7.88176   L2: 7.88176   L3: 7.88176
Angle: 2.07345   L1: 7.92059   L2: 7.92059   L3: 7.92059
Angle: 2.13628   L1: 7.95183   L2: 7.95183   L3: 7.95183
Angle: 2.19911   L1: 7.97538   L2: 7.97538   L3: 7.97538
Angle: 2.26195   L1: 7.99112   L2: 7.99112   L3: 7.99112
Angle: 2.32478   L1: 7.99901   L2: 7.99901   L3: 7.99901
Angle: 2.38761   L1: 7.99901   L2: 7.99901   L3: 7.99901
