Generated 1 moment matrices
Largest moment matrix has size 7
Objective: <A1>-<A2>+<B1>-<B2>-<A1B1>+<A1B2>+<A2B1>-<A2B2>+<A1B3>+<A2B3>+<A3B1>+<A3B2>
Vars: <B1> <A2>
Angle: 0   L1: 6.74167   L2: 5.67391   L3: 5.64631
Angle: 0.0628319   L1: 6.82675   L2: 5.73677   L3: 5.7092
Angle: 0.125664   L1: 6.90608   L2: 5.79703   L3: 5.76947
Angle: 0.188496   L1: 6.9793   L2: 5.85407   L3: 5.8265
Angle: 0.251327   L1: 7.0461   L2: 5.90737   L3: 5.87974
Angle: 0.314159   L1: 7.1062   L2: 5.95642   L3: 5.92868
Angle: 0.376991   L1: 7.15934   L2: 6.00082   L3: 5.97289
Angle: 0.439823   L1: 7.20531   L2: 6.04024   L3: 6.012
Angle: 0.502655   L1: 7.24391   L2: 6.07447   L3: 6.04574
Angle: 0.565487   L1: 7.27499   L2: 6.1034   L3: 6.07391
Angle: 0.628319   L1: 7.29841   L2: 6.12712   L3: 6.09646
Angle: 0.69115   L1: 7.31409   L2: 6.14597   L3: 6.11348
Angle: 0.753982   L1: 7.32196   L2: 6.16077   L3: 6.12531
Angle: 0.816814   L1: 7.33569   L2: 6.17354   L3: 6.1327
Angle: 0.879646   L1: 7.35815   L2: 6.1932   L3: 6.18822
Angle: 0.942478   L1: 7.37704   L2: 6.31287   L3: 6.31287
Angle: 1.00531   L1: 7.39304   L2: 6.43629   L3: 6.43629
Angle: 1.06814   L1: 7.40694   L2: 6.55798   L3: 6.55798
Angle: 1.13097   L1: 7.41968   L2: 6.67748   L3: 6.67748
Angle: 1.19381   L1: 7.43234   L2: 6.7943   L3: 6.7943
Angle: 1.25664   L1: 7.44612   L2: 6.90798   L3: 6.90798
Angle: 1.31947   L1: 7.46231   L2: 7.01808   L3: 7.01808
Angle: 1.3823   L1: 7.48213   L2: 7.12417   L3: 7.12417
Angle: 1.44513   L1: 7.50664   L2: 7.22581   L3: 7.22581
Angle: 1.50796   L1: 7.53656   L2: 7.32262   L3: 7.32262
Angle: 1.5708   L1: 7.57206   L2: 7.41421   L3: 7.41421
Angle: 1.63363   L1: 7.6127   L2: 7.50022   L3: 7.50022
Angle: 1.69646   L1: 7.65744   L2: 7.58031   L3: 7.58031
Angle: 1.75929   L1: 7.70481   L2: 7.65416   L3: 7.65416
Angle: 1.82212   L1: 7.75313   L2: 7.72148   L3: 7.72148
Angle: 1.88496   L1: 7.80064   L2: 7.78201   L3: 7.78201
Angle: 1.94779   L1: 7.84569   L2: 7.83551   L3: 7.83551
